2018-11-21 16:05:49,570 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:49,898 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'commandExecutorPoolSize'. Returning default: 'null'
2018-11-21 16:05:52,661 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:52,689 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:05:52,700 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:07:12,254 ERROR           MessagingTh1|     ByteMessageChannel| Peer closed
2018-11-21 16:07:12,255 ERROR           MessagingTh1|       BMCMessagingPort| Unable to read next message. Error while communicating with /172.16.1.251:6010
2018-11-21 16:07:12,258 ERROR           MessagingTh1|        MessagingThread| Exception occurred on MessagingPort MP[true,SC:eu.ysoft.communicator.PlainSocketChannel@1280410a,S:working,ID:1,O: R,R:19,W:false,C:I: 192/O: 170/W: 0]... Closing port registred in MessagingThread[ID: 1, is-stop: false, selector-open: true, detachedPorts: 0]
2018-11-21 16:07:12,258 ERROR           MessagingTh1|        MessagingThread| Error: Peer closed
2018-11-21 16:10:22,147 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'communicatorSyncWaitRetry'. Returning default: 'null'
2018-11-21 16:10:22,147 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'communicatorSyncWaitSleep'. Returning default: 'null'
2018-11-21 16:10:22,148 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'serverGUID2'. Returning default: 'null'
2018-11-21 16:11:01,265 ERROR        pool-3-thread-2|    SyncMessageConsumer| Async msg handling error: null
2018-11-21 16:11:04,108 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:11:07,213 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:11:10,329 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:11:13,550 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:11:15,181 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'commandExecutorPoolSize'. Returning default: 'null'
2018-11-21 16:11:16,663 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:11:19,781 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:17:53,438 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'communicatorSyncWaitRetry'. Returning default: 'null'
2018-11-21 16:17:53,438 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'communicatorSyncWaitSleep'. Returning default: 'null'
2018-11-21 16:17:53,439 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'serverGUID2'. Returning default: 'null'
2018-11-21 16:17:55,940 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:17:56,785 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:17:59,080 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:17:59,901 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:18:02,257 ERROR        pool-3-thread-1|    SyncMessageConsumer| Sync msg handling error: ManagerFacade has not been initialized
2018-11-21 16:18:03,020 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:05,394 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:06,213 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:08,516 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:09,265 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:11,640 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:12,500 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:14,847 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:15,627 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:17,601 ERROR             StartUpThr|      ConfigurationImpl| Requested property not available in cache. Key = 'commandExecutorPoolSize'. Returning default: 'null'
2018-11-21 16:18:17,884 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:18,750 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:21,015 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
2018-11-21 16:18:21,970 ERROR        pool-3-thread-2|    SyncMessageConsumer| Sync msg handling error: null
